stable_id	path	real_path	type	bytes	lines	sha256	owning_repository	ownership	classification	consumer	discovery_mechanism	scope	current_activation	content_summary	unique_information	duplication	apparent_age	verification	risks_count_only	decision	destination_or_archive	validation	commit	review_date
AI-d98ac59eb2d4	/home/jack/.claude/commands/security-review.md	/home/jack/github/agent-skills/commands/security-review.md	prompt-command	2985	70	84f7ccc8f20fdd1125d897a64a13c67eb02aa7a1c5cbfb4cbf36186d72fccef1	/home/jack/github/agent-skills	first-party	maintained	tool	tool resource discovery/configuration	global or explicit invocation	potentially-active	prompt-command	manual review required	group by sha256=84f7ccc8f20f	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-0bf91f35c3da	/home/jack/.claude/commands/wisdom.md	/home/jack/github/agent-skills/commands/wisdom.md	prompt-command	2826	72	2d7f0b3dd93105f17ee3ef87be3f8c47d5c08f4ee87779811e42c54dc7812c4b	/home/jack/github/agent-skills	first-party	maintained	tool	tool resource discovery/configuration	global or explicit invocation	potentially-active	prompt-command; sections: /wisdom, Loading Process:, Report Format:	manual review required	group by sha256=2d7f0b3dd931	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-597ac940b908	/home/jack/.claude/commands/wrap-session.md	/home/jack/github/agent-skills/commands/wrap-session.md	prompt-command	6899	191	61892d0f638b6ea6d87ed631aac38db497375b063c95e94674d42cadf847219c	/home/jack/github/agent-skills	first-party	maintained	tool	tool resource discovery/configuration	global or explicit invocation	potentially-active	prompt-command; sections: /wrap-session, Work Done	manual review required	group by sha256=61892d0f638b	mtime=2026-04-13	complete-byte read; metadata/hash; activation requires discovery evidence	symlink	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-9c83da52ab77	/home/jack/.claude/plugins/installed_plugins.json	/home/jack/.claude/plugins/installed_plugins.json	plugin-registry	372	14	1fa07b267c127f69f1534957c7c280ab5de39d95688e827125746e5b424f7a8f		first-party	active-global	consumer-specific	consumer-specific	/home/jack/.claude/plugins	conditional	plugin-registry	manual review required	group by sha256=1fa07b267c12	mtime=2026-04-11	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-a8c2a6efc2c0	/home/jack/.claude/plugins/known_marketplaces.json	/home/jack/.claude/plugins/known_marketplaces.json	plugin-registry	274	10	7727f3be543c143789b34e8dda87cf3af6c11cec4ef9cc03afe6221d28cc2e3a		first-party	active-global	consumer-specific	consumer-specific	/home/jack/.claude/plugins	conditional	plugin-registry	manual review required	group by sha256=7727f3be543c	mtime=2026-04-16	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	review/reconcile in prioritized safe edit plan; no edit in this audit	nearest reviewed AGENTS.md or canonical agent-skills source	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-86c034675f24	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/discord/skills/access/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/discord/skills/access/SKILL.md	skill	4357	137	4fc3da872e033c37576a904b15a1bcac6b1ce6c7bc43f1f96abd7cad4855ac7a		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (access)	not assessed; non-authoritative copy	group by sha256=4fc3da872e03	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-540038d37712	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/discord/skills/configure/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/discord/skills/configure/SKILL.md	skill	4324	99	9364d7895d6f38b917a711128e7b391884fb8b8d69a62c7d72a81e95b6e2b948		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (configure)	not assessed; non-authoritative copy	group by sha256=9364d7895d6f	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-44fc3ea652fa	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/skills/access/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/skills/access/SKILL.md	skill	4754	140	ac994a86aab3a2724651a13a62ee9deae985196c8687a33bb79c4b7898aa5be7		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (access)	not assessed; non-authoritative copy	group by sha256=ac994a86aab3	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-f1ca18cf9ef7	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/skills/configure/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/skills/configure/SKILL.md	skill	3546	82	3afdc7e9faa36aa0ba9813dce68509c45014a75b316d366ba44c46ebd8b098aa		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (configure)	not assessed; non-authoritative copy	group by sha256=3afdc7e9faa3	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-118f9146db0f	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/skills/access/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/skills/access/SKILL.md	skill	4280	136	c499635ef8a9a68cb166bb737a7f4d0620154d1bc9e96934cb8b630fadf22c86		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (access)	not assessed; non-authoritative copy	group by sha256=c499635ef8a9	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-0c61449ee2eb	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/skills/configure/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/skills/configure/SKILL.md	skill	4024	96	7a58fa4efd09dd8323894e0e505bc21de11e657994710a3c535f9f5072fe36b3		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (configure)	not assessed; non-authoritative copy	group by sha256=7a58fa4efd09	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-43b3a901ba4e	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/claude-code-setup/skills/claude-automation-recommender/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/claude-code-setup/skills/claude-automation-recommender/SKILL.md	skill	10856	288	bd8789052f89e784b744a2104d6f3f1373526ebe9e0576a3a5f6f4c73633f66f		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (claude-automation-recommender)	not assessed; non-authoritative copy	group by sha256=bd8789052f89	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-264bd4058482	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/claude-md-management/skills/claude-md-improver/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/claude-md-management/skills/claude-md-improver/SKILL.md	skill	6028	179	b06c7420be08ca1c7f6d75f7f4709fdb787624a2d363e2f8052216d8c780f85b		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (claude-md-improver)	not assessed; non-authoritative copy	group by sha256=b06c7420be08	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-97f97ee99b65	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/example-plugin/skills/example-command/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/example-plugin/skills/example-command/SKILL.md	skill	1226	39	d561981660827f3818b0daec456ae5b31894f68c22407d8c495a77b3105ba96d		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (example-command)	not assessed; non-authoritative copy	group by sha256=d56198166082	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-0af378a69e38	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/example-plugin/skills/example-skill/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/example-plugin/skills/example-skill/SKILL.md	skill	2725	84	87d90442621ace039aa3379805f99c3f95bf500e9f7b96f9e7876ac2dcf804f5		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (example-skill)	not assessed; non-authoritative copy	group by sha256=87d90442621a	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-1fb64c80309d	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/explanatory-output-style/hooks/hooks.json	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/explanatory-output-style/hooks/hooks.json	hooks	323	15	f941cedcbac07688675fb8d0fad741e9ba13900d73416409861001efe3fedba9		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	hooks	not assessed; non-authoritative copy	group by sha256=f941cedcbac0	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-a8baf8e23071	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/frontend-design/skills/frontend-design/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/frontend-design/skills/frontend-design/SKILL.md	skill	4274	42	d39adf3a983de7dafc75991590d54f091755f7e4163d5a5ed085ecd719157184		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (frontend-design)	not assessed; non-authoritative copy	group by sha256=d39adf3a983d	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-e4c822a51b96	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/hooks.json	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/hookify/hooks/hooks.json	hooks	1020	49	838dd2ffbe325307cc23a02ef541fd45c25fd42492d64ccbe9ec11233a3a04f0		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	hooks	not assessed; non-authoritative copy	group by sha256=838dd2ffbe32	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-d3c2dd37d971	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/hookify/skills/writing-rules/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/hookify/skills/writing-rules/SKILL.md	skill	8423	374	2994b5d3152243b1a1cbf8358e9d7c18f290f31a23920647f31053c3efdf990d		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (writing-hookify-rules)	not assessed; non-authoritative copy	group by sha256=2994b5d31522	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-b63c9563ed0e	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/learning-output-style/hooks/hooks.json	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/learning-output-style/hooks/hooks.json	hooks	320	15	2f5725548acfcae80ae997996a5037aad0754c13498cd81b87df35893f283db8		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	hooks	not assessed; non-authoritative copy	group by sha256=2f5725548acf	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-4f809606eb50	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/math-olympiad/skills/math-olympiad/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/math-olympiad/skills/math-olympiad/SKILL.md	skill	19961	411	f697e195d343520f3db551bd4fb44c5120504ee2c47a9cc2016cd57767f23403		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (math-olympiad)	not assessed; non-authoritative copy	group by sha256=f697e195d343	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-10d18f40db3c	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/mcp-server-dev/skills/build-mcp-app/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/mcp-server-dev/skills/build-mcp-app/SKILL.md	skill	16447	352	e30e4a1090485320a13301a1294c3a16bfa62195ab1f2c22550cb4caa995a4e0		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (build-mcp-app)	not assessed; non-authoritative copy	group by sha256=e30e4a109048	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-f594c1296039	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/mcp-server-dev/skills/build-mcp-server/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/mcp-server-dev/skills/build-mcp-server/SKILL.md	skill	10960	208	fe990c4a45216eb331d4439d23aa6ce97f43ef33be12118e7021efce25a50e59		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (build-mcp-server)	not assessed; non-authoritative copy	group by sha256=fe990c4a4521	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-ed633d03811a	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/mcp-server-dev/skills/build-mcpb/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/mcp-server-dev/skills/build-mcpb/SKILL.md	skill	7690	197	f3c04fbc9912f51e140e69b06b47638bc42b5f2057716c6d92b78c275ffe6c1f		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (build-mcpb)	not assessed; non-authoritative copy	group by sha256=f3c04fbc9912	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-819ffc856701	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/playground/skills/playground/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/playground/skills/playground/SKILL.md	skill	3824	76	521a3d62211e5f47b65ed17b660e001b15cf8d88d058cbf31bc00e889bcb63cc		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (playground)	not assessed; non-authoritative copy	group by sha256=521a3d62211e	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-d6d1061ba1b4	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/plugin-dev/skills/agent-development/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/plugin-dev/skills/agent-development/SKILL.md	skill	10430	415	035ab8d539500108041ec3ea2222fa7e79a78c5592f0eb7051335fcb7c514d31		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (agent-development)	not assessed; non-authoritative copy	group by sha256=035ab8d53950	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
AI-6a828a9ffda4	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/plugin-dev/skills/command-development/SKILL.md	/home/jack/.claude/plugins/marketplaces/claude-plugins-official/plugins/plugin-dev/skills/command-development/SKILL.md	skill	19233	884	c55ad02cfe4cbb2a947eea3b1ed5fa1871e722d627c3c6792c3ed87c10c4d7a8		external	installed-plugin-source	Claude	Claude plugin registry when plugin is enabled	global Claude plugin configuration	conditional-external	skill playbook (command-development)	not assessed; non-authoritative copy	group by sha256=c55ad02cfe4c	mtime=2026-04-15	complete-byte read; metadata/hash; activation requires discovery evidence	none detected by limited patterns	leave-external-unchanged; manage activation via tool/workspace configuration	package/vendor/upstream owner	re-run inventory.py; tool-specific discovery test before edit	not-applicable-read-only-audit	2026-08-03
